row_index,Ecm,Nproj,det_grid_real,det_grid_imag,local_det_real,local_det_imag,sign_grid,sign_local,in_original_bracket,in_hot_window,dimension_jump_flag
1188,0.26885614780739037,5,1.1783422132957029e-19,-0,1.1676207584693541e-19,-0,1,1,false,false,false
1189,0.2688609930496525,5,1.1663696366431247e-19,-0,1.1557335850248028e-19,-0,1,1,false,false,false
1190,0.26886583829191457,5,1.1543909875376045e-19,-0,1.1438404026415664e-19,-0,1,1,false,false,false
1191,0.2688706835341767,5,1.1424062839416053e-19,-0,1.1319412290999323e-19,-0,1,1,false,false,false
1192,0.26887552877643883,5,1.1304155437478487e-19,-0,1.120036082110848e-19,-0,1,1,false,false,false
1193,0.26888037401870091,5,1.1184187847791587e-19,-0,1.1081249793157698e-19,-0,1,1,false,false,false
1194,0.26888521926096304,5,1.1064160247882363e-19,-0,1.0962079382864226e-19,-0,1,1,false,false,false
1195,0.26889006450322517,5,1.0944072814586003e-19,-0,1.0842849765257585e-19,-0,1,1,false,false,false
1196,0.2688949097454873,5,1.082392572404353e-19,-0,1.0723561114677067e-19,-0,1,1,false,false,false
1197,0.26889975498774937,5,1.0703719151703889e-19,-0,1.0604213604773894e-19,-0,1,1,false,false,false
1198,0.2689046002300115,5,1.0583453272322952e-19,-0,1.0484807408510185e-19,-0,1,1,false,false,false
1199,0.26890944547227363,5,1.0463128259971735e-19,-0,1.03653426981672e-19,-0,1,1,false,false,false
1200,0.26891429071453571,5,1.0342744288035037e-19,-0,1.0245819645343913e-19,-0,1,1,false,false,false
1201,0.26891913595679784,5,1.0222301529208802e-19,-0,1.0126238420954397e-19,-0,1,1,false,false,false
1202,0.26892398119905997,5,1.0101800155508743e-19,-0,1.0006599195236553e-19,-0,1,1,false,false,false
1203,0.26892882644132204,5,9.9812403382711129e-20,-0,9.8869021377525682e-20,-0,1,1,false,false,false
1204,0.26893367168358417,5,9.8606222481472231e-20,-0,9.7671474173837994e-20,-0,1,1,false,false,false
1205,0.2689385169258463,5,9.7399460551151165e-20,-0,9.6473352023421606e-20,-0,1,1,false,false,false
1206,0.26894336216810838,5,9.6192119284762683e-20,-0,9.5274656601670002e-20,-0,1,1,false,false,false
1207,0.26894820741037051,5,9.4984200368549139e-20,-0,9.4075389577242611e-20,-0,1,1,false,false,false
1208,0.26895305265263264,5,9.377570548204739e-20,-0,9.2875552612132886e-20,-0,1,1,false,false,false
1209,0.26895789789489477,5,9.2566636298101466e-20,-0,9.1675147361680574e-20,-0,1,1,false,false,false
1210,0.26896274313715685,5,9.1356994482848096e-20,-0,9.0474175474556471e-20,-0,1,1,false,false,false
1211,0.26896758837941898,5,9.0146781695730042e-20,-0,8.9272638592776873e-20,-0,1,1,false,false,false
1212,0.26897243362168111,5,8.893599958956524e-20,-0,8.8070538351771844e-20,-0,1,1,false,false,false
1213,0.26897727886394318,5,8.7724649810531414e-20,-0,8.6867876380369537e-20,-0,1,1,false,false,false
1214,0.26898212410620531,5,8.6512733998148775e-20,-0,8.5664654300780107e-20,-0,1,1,false,false,false
1215,0.26898696934846744,5,8.5300253785372299e-20,-0,8.4460873728685842e-20,-0,1,1,false,false,false
1216,0.26899181459072952,5,8.4087210798567586e-20,-0,8.3256536273219144e-20,-0,1,1,false,false,false
1217,0.26899665983299165,5,8.2873606657485777e-20,-0,8.2051643536936113e-20,-0,1,1,false,false,false
1218,0.26900150507525378,5,8.1659442975368582e-20,-0,8.0846197115921327e-20,-0,1,1,false,false,false
1219,0.26900635031751585,5,8.0444721358917775e-20,-0,7.9640198599758435e-20,-0,1,1,false,false,false
1220,0.26901119555977798,5,7.9229443408281042e-20,-0,7.8433649571514725e-20,-0,1,1,false,false,false
1221,0.26901604080204011,5,7.8013610717134719e-20,-0,7.7226551607824063e-20,-0,1,1,false,false,false
1222,0.26902088604430219,5,7.6797224872679055e-20,-0,7.6018906278882832e-20,-0,1,1,false,false,false
1223,0.26902573128656432,5,7.5580287455594151e-20,-0,7.4810715148404916e-20,-0,1,1,false,false,false
1224,0.26903057652882645,5,7.4362800040154642e-20,-0,7.3601979773737003e-20,-0,1,1,false,false,false
1225,0.26903542177108858,5,7.3144764194186609e-20,-0,7.2392701705814178e-20,-0,1,1,false,false,false
1226,0.26904026701335065,5,7.1926181479106484e-20,-0,7.1182882489200491e-20,-0,1,1,false,false,false
1227,0.26904511225561278,5,7.0707053449888858e-20,-0,6.9972523662056022e-20,-0,1,1,false,false,false
1228,0.26904995749787491,5,6.9487381655167294e-20,-0,6.8761626756236668e-20,-0,1,1,false,false,false
1229,0.26905480274013699,5,6.8267167637202128e-20,-0,6.7550193297263076e-20,-0,1,1,false,false,false
1230,0.26905964798239912,5,6.7046412931860827e-20,-0,6.6338224804300287e-20,-0,1,1,false,false,false
1231,0.26906449322466125,5,6.5825119068715795e-20,-0,6.5125722790256299e-20,-0,1,1,false,false,false
1232,0.26906933846692332,5,6.4603287571023159e-20,-0,6.3912688761759048e-20,-0,1,1,false,false,false
1233,0.26907418370918545,5,6.3380919955685632e-20,-0,6.269912421912173e-20,-0,1,1,false,false,false
1234,0.26907902895144759,5,6.2158017733374772e-20,-0,6.148503065646244e-20,-0,1,1,false,true,false
1235,0.26908387419370966,5,6.0934582408477046e-20,-0,6.0270409561651737e-20,-0,1,1,false,true,false
1236,0.26908871943597179,5,5.9710615479099233e-20,-0,5.9055262416317769e-20,-0,1,1,false,true,false
1237,0.26909356467823392,5,5.8486118437136435e-20,-0,5.7839590695913529e-20,-0,1,1,false,true,false
1238,0.26909840992049605,5,5.72610927682591e-20,-0,5.6623395869704431e-20,-0,1,1,false,true,false
1239,0.26910325516275813,5,5.6035539951936278e-20,-0,5.5406679400791538e-20,-0,1,1,false,true,false
1240,0.26910810040502026,5,5.4809461461421718e-20,-0,5.418944274609707e-20,-0,1,1,false,true,false
1241,0.26911294564728239,5,5.3582858763826294e-20,-0,5.297168735643748e-20,-0,1,1,false,true,false
1242,0.26911779088954446,5,5.2355733320099375e-20,-0,5.1753414676503905e-20,-0,1,1,false,true,false
1243,0.26912263613180659,5,5.1128086585030759e-20,-0,5.0534626144864656e-20,-0,1,1,false,true,false
1244,0.26912748137406872,5,4.9899920007293606e-20,-0,4.931532319400799e-20,-0,1,1,false,true,false
